Community_Area_Number,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16+_UNEMPLOYED,PERCENT_AGED_25+_WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED UNDER_18_OR_OVER_64,PER_CAPITA_INCOME ,HARDSHIP_INDEX
166,6.9,20.5,13.1,41.6,36.4,15089,71
167,6,15.3,9.2,24.7,31,20039,42
168,3.2,16.8,8.2,14.8,26.2,31908,23
169,14.8,33.9,17.3,35.4,38,13781,85
170,2.3,14.7,6.6,12.9,21.7,43198,10
171,6.3,28.6,22.6,24.4,37.9,15957,73
172,9.4,41.7,25.8,24.5,43.6,10934,92
173,8.2,42.4,19.6,21.3,43.2,12961,83
174,3.8,20.6,10.7,9.6,22.2,44689,15
175,7.4,43.1,21.2,27.6,42.7,12034,87
176,15.2,30.7,15.8,54.8,33.8,10402,96
177,9.6,25.8,15.8,40.7,32.6,16444,76
178,1.5,14.7,5.7,3.1,13.5,65526,3
179,1.3,13.8,4.9,7.4,21.8,59077,7
180,5.7,40.1,16.7,34.5,38.3,16148,82
181,1.8,29.6,18.2,14.3,30.7,23791,47
182,1.3,39.7,28.7,18.4,40.4,19252,78
183,3.2,51.2,33.9,26.6,44.9,10432,97
184,3.3,29.3,24.3,15.9,39.5,23472,57
185,2.4,21.7,15.7,11.3,35.4,35911,26
186,5.6,42.1,28.6,25.4,42.8,13785,88
187,1.5,18.4,8.4,4.3,26.2,39056,14
188,2.9,30.7,23.4,16.5,36.1,18672,58
189,2.1,11.5,20,11,44,28887,38
190,2.5,19.8,20.3,16.9,41.2,17949,52
191,1.5,21.6,22.8,13.1,38.6,20588,51
192,4,29.2,16.3,21,39.5,14685,65
193,6.8,19.2,12.1,31.9,42.8,17104,64
194,3.3,25.9,19.4,20.5,42.1,16563,62
195,5.8,56.5,34.6,27.5,51.5,8201,98
196,3.3,17.1,9.6,19.2,42.9,22677,44
197,2.6,8.8,11.3,19.3,38.1,26353,32
